Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-EAS006,29 Frj Dr,Longview,75602,East Texas Fabrication,Metal Fabrication,32.49571991,-94.69298553,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PPC001,3000 E Marshall Ave,Longview,75601,Ppc Industries,Metal Fabrication,32.50294113,-94.67918396,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-A 1001,4876 FM 1844,Longview,75605,A-1 Construction Co.,Metal Fabrication,32.5915184,-94.81986237,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-FUL001,4911 W Marshall Ave,Longview,75604,Fuller Sheet Metal,Metal Fabrication,32.50917053,-94.80969238,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MET001,5069 Whitehurst Dr,Longview,75602,Metal Mart #57,Metal Fabrication,32.46424103,-94.64451599,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-BUI001,519 W S St,Longview,75601,Buildings4less LLC,Construction,32.4948616,-94.74916077,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TRI002,5225 Whitehurst Dr,Longview,75602,Triple L Fab Works,Metal Fabrication,32.46476746,-94.64214325,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-A B001,5201 W Marshall Ave,Longview,75604,A & B Welding,Welding,32.50963974,-94.8120575,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SOU002,600 Foundry Dr,Longview,75604,Southwest Steel Casting Co.,Metal Fabrication,32.50125504,-94.81110382,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-LMC001,827 Fisher Rd,Longview,75604,Lmc Fab,Metal Fabrication,32.50230026,-94.8194809,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-AME002,9 Gum Valley Cir,Longview,75602,Amega Systems LLC,Metal Fabrication,32.4799118,-94.69602966,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-CLA002,9486 FM 2011,Longview,75603,Cladtec,Metal Fabrication,32.36304855,-94.71324921,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PMP001,5915 Tx-281 Se Loop,Longview,75602,"Pmp Buildings, LLC",Construction,32.46423721,-94.66909027,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TEX009,607 Fisher Rd,Longview,75604,Texas Iron & Steel,Metal Fabrication,32.49708939,-94.81923676,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-WIN002,7944 US Highway 259 N,Longview,75605,Winslow's Portable Buildings,Construction,32.61722565,-94.75788879,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ATL001,9279 Us-259 S,Longview,75605,"Atlas Building Systems, Inc.",Construction,32.63777924,-94.76073456,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-LOW001,187 Fredonia Ave,Lufkin,75904,Lowes Welding Inc.,Welding,31.43048096,-94.72877502,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ALL001,3103 E Denman Ave,Lufkin,75901,All Metal Carports and Covers LLC,Metal Fabrication,31.31282806,-94.68624878,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-EJC001,1009 E Denman Ave,Lufkin,75901,Ejcon Corporation,Metal Fabrication,31.32663155,-94.71413422,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ALT001,1310 N John Redditt Dr,Lufkin,75904,Altra Steel Joist & Deck,Metal Fabrication,31.34648705,-94.76348114,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ASP001,2015 Spence St,Lufkin,75904,Aspen Dci,Metal Fabrication,31.36328125,-94.71907806,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-GIB001,427 Parks Cir,Lufkin,75904,Gibbs Precision Machine,Metal Fabrication,31.31196785,-94.80261993,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-GAR001,604 Winston 8 Ranch Rd,Lufkin,75904,Garcia Brothers Metal Buildings,Metal Fabrication,31.40302277,-94.72118378,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-STA003,711 Industrial Blvd,Lufkin,75904,Star Manufacturing,Metal Fabrication,31.33913612,-94.75885773,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-M C001,14322 County Rd 4015,Mabank,75147,M & C Construction and Welding LLC,Welding,32.47291565,-96.09938812,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-FOR002,3942 FM 3080,Mabank,75147,Fortenberry Pipe & Supply LLC,Welding,32.37861633,-96.04224396,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-COO001,300 S Park Blvd,Mabank,75147,Cooper's Tin Shop,Metal Fabrication,32.36614609,-96.10800934,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-CUS002,6242 Clear Creek Rd,Mabank,75156,Custom Boat Cradles,Metal Fabrication,32.23655701,-96.06233215,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-EAG003,802 N Third St,Mabank,75147,Eagle Metal,Metal Fabrication,32.37687302,-96.09351349,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TEC001,723 E Mason St,Mabank,75147,Techniform,Construction,32.36058044,-96.08816528,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MCC001,424 E Royall Blvd,Malakoff,75148,Mccluskey's Premier Buildings of Malakoff,Construction,32.17155457,-96.00804138,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-STO001,2710 Karnack Hwy,Marshall,75672,Stor Mor - East Texas Auto Parts,Automotive,32.55338287,-94.33771515,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-GAR002,2902 W Pinecrest Dr,Marshall,75670,Garrison Metal Products,Metal Fabrication,32.51939774,-94.39492798,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ETA001,1450 Bromberg St,Mineola,75773,Etas Inc.,Metal Fabrication,32.65139008,-95.48266602,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SOU001,485 Ne Loop 564,Mineola,75773,Southwest Steel Buildings,Metal Fabrication,32.68857574,-95.47248077,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-RUG001,170 County Rd 2768,Mineola,75773,Rugged Cross Welding LLC,Welding,32.62519455,-95.41876221,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-RED002,224 County Rd 2262,Mineola,75773,"Red Sky Landscaping & Welding - Metal Fencing, Automatic Gate Fabrication, Lawn Services",Agriculture,32.71576691,-95.53057098,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-YEL001,292 County Rd 2900,Mineola,75773,Yellow Jacket Welding & Metal Works,Welding,32.68016052,-95.55986786,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-GRA002,"13099 Us-259 N, Mount Enterprise, TX 75681",Mount Enterprise,75681,Graceland Portable Buildings of Mt Enterprise,Construction,31.98141289,-94.70935822,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-B L001,"1321 W Ferguson Rd, Mount Pleasant, TX 75455",Mount Pleasant,75455,B&l Welding and Fabrication,Welding,33.15664673,-94.98159027,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TIT001,"104 County Rd 4510, Mount Pleasant, TX 75455",Mount Pleasant,75455,Titan Steel Construction,Metal Fabrication,33.12519836,-94.96697998,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MET006,"1440 Nicholson Ave, Mount Pleasant, TX 75455",Mount Pleasant,75455,Metal Works,Metal Fabrication,33.17128754,-94.9569931,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-HOM001,"2105 Fm-2348, Mount Pleasant, TX 75455",Mount Pleasant,75455,Homer Metal Buildings,Metal Fabrication,33.10586548,-94.91462708,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-IMF001,"3047 FM 2348, Mount Pleasant, TX 75455",Mount Pleasant,75455,"Imfab, Inc.",Metal Fabrication,33.18004227,-94.9300766,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-LON006,"450 County Rd 1312, Mount Pleasant, TX 75455",Mount Pleasant,75455,Lone Star Dock,Metal Fabrication,33.19939041,-95.00712585,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-FLE001,"4958 Farm Rd 1402, Mount Pleasant, TX 75455",Mount Pleasant,75455,Flex Steel Industries,Metal Fabrication,33.22522736,-94.94657135,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-AST001,"251 Cr 3215, Mt Pleasant, TX 75455",Mt Pleasant,75455,Aston Metal Art,Metal Fabrication,33.15684128,-94.96826172,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-WIN003,"35 FM 21, Mt Vernon, TX 75457",Mt Vernon,75457,Winslows Custom Buildings,Construction,33.08875656,-95.12747955,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-JL 001,4879 State Highway 31 E,Murchison,75778,Jl Services,Metal Fabrication,32.25817108,-95.77777863,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TEX007,5672 State Highway 31 E,Murchison,75778,Texas Star Fabrication & Equipment,Metal Fabrication,32.2682724,-95.7629776,Not Contacted,,,30,2026/04/02,Cold,,,,,
