Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-MET002,9389 State Highway 31 W,Athens,75751,Metal Mart #38,Metal Fabrication,32.18809891,-95.93650055,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-EAS106,9200 Fm2329,Athens,75751,East Texas Excavation,Metal Fabrication,32.252974,-95.9304625,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-ATH101,900 Ne Loop 7,Athens,75752,Athens Steel Building,Metal Fabrication,32.2254166,-95.8421472,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-RIC001,tx-19,Athens,75124,"Richmon Construction Services, Llc",Metal Fabrication,,-95.83855438,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-LON001,2940 State Highway 31 E,Athens,75752,Lonestar Sheds Llc,Construction,32.22748947,-95.81044769,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-D S001,518 Progress Way,Athens,75751,D. S. Brown,Iron & steel industry,32.21162796,-95.81190491,Not Contacted,,,14,2026/03/17,Cold,,50,Medium,75,60
CID-MCC002,9051 County Rd 41126,Athens,75751,Mccool Welding And Fabrication,Welding,32.12736511,-95.89057159,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-HER104,FM 1803,Athens,75752,Herrington Welding,Welding,32.2858764,-95.714084,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-RID001,113 N Washington St,Beckville,75631,Ridgway Cnc,Metal Fabrication,32.24276352,-94.45636749,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-ARC001,"1134 State Highway 64, Ben Wheeler, TX 75754",Ben Wheeler,75754,Arcadian Place,Metal Fabrication,32.37623978,-95.49046326,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-WOL001,"14432 State Highway 64, Ben Wheeler, TX 75754",Ben Wheeler,75754,Wolf Pipe,Metal Fabrication,32.45405579,-95.71046448,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-JM 001,"660 Vz County Rd 4413, Ben Wheeler, TX 75754",Ben Wheeler,75754,Jm Metal Boutique,Metal Fabrication,32.49252319,-95.71655273,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
